Dataset	Method	Precision-0.2	Precision-0.3	Precision-0.4	Precision-0.5	Precision-0.6	Precision-0.7
FORECasT WT	X-CRISP	0.696420269642027	0.7047970479704797	0.6396917148362236	0.5950155763239875	0.49575070821529743	0.3612040133779264
FORECasT WT	inDelphi	0.4502676810369118	0.3953068592057762	0.27794561933534745	0.09608091024020228	0.07039337474120083	0.03755868544600939
FORECasT WT	Lindel	0.5982478097622027	0.45444485429730724	0.2860696517412935	0.12924424972617743	0.025423728813559324	0.00909090909090909
FORECasT WT	FORECasT	0.6120625465376024	0.5808823529411765	0.4804232804232804	0.3859030837004405	0.25806451612903225	0.12830188679245283
FORECasT WT	DU-AxisCRISP	0.7251067655652955	0.728949717346028	0.6738823529411765	0.6171516079632465	0.5321888412017167	0.34843205574912894
inDelphi WT	X-CRISP	0.7151294865970014	0.7181628392484343	0.5992317541613317	0.43783783783783786	0.25396825396825395	0.125
inDelphi WT	inDelphi	0.4462521789657176	0.30441400304414	0.06896551724137931	0.024096385542168676	0.0	0.0
inDelphi WT	Lindel	0.648623425104993	0.578332034294622	0.44299674267100975	0.2928870292887029	0.14285714285714285	0.0
inDelphi WT	FORECasT	0.680786686838124	0.6571187868576243	0.5313028764805414	0.3794466403162055	0.25	0.125
inDelphi WT	DU-AxisCRISP	0.7204636647347302	0.7021696252465484	0.6124852767962309	0.43031784841075793	0.23030303030303031	0.09090909090909091
