Dataset	Method	Precision-0.2	Precision-0.3	Precision-0.4	Precision-0.5	Precision-0.6	Precision-0.7
FORECasT WT	X-CRISP	0.283600328646962	0.5025272788702468	0.5347504895152447	0.544099069401577	0.4704944285562371	0.37616223629384
FORECasT WT	inDelphi	-0.025837183408865715	0.13863912942429527	0.12428680568937904	0.010023588803067938	0.03219234200951082	0.025012862958612794
FORECasT WT	Lindel	0.15276938385357505	0.24948185757008767	0.2251643644288782	0.13685069957591028	0.053607678686713456	0.04356092489586992
FORECasT WT	FORECasT	0.18337036919364127	0.3993264893099017	0.422974874444131	0.40492937080057323	0.31073065691671997	0.21060719016969404
FORECasT WT	DU-AxisCRISP	0.3129070036097631	0.5214230704092468	0.5711084547392877	0.5647642095161275	0.5159021757110414	0.37713474451377055
inDelphi WT	X-CRISP	0.3481661439916243	0.5599681313859491	0.508551361259049	0.41021776657331	0.2631376571978205	0.13158345942549737
inDelphi WT	inDelphi	0.0866637716979839	0.16507589185803556	0.0108224791033594	0.003193894167308624	-0.005448151167050499	0.0
inDelphi WT	Lindel	0.2222309057902781	0.37386529408055974	0.3415813730369667	0.24738594208162598	0.12749194486151094	-0.002667432538318156
inDelphi WT	FORECasT	0.37078943910946094	0.5322945602683934	0.46483088712427156	0.33965054832966085	0.23467191683268707	0.1256497830046574
inDelphi WT	DU-AxisCRISP	0.345829595243135	0.5289839020867625	0.5283715241019056	0.41159068866254295	0.25813218265612226	0.10433478095410534
