Dataset	Method	Precision-0.2	Precision-0.3	Precision-0.4	Precision-0.5	Precision-0.6	Precision-0.7
FORECasT WT	X-CRISP	0.7493746873436719	0.8358862144420132	0.8258706467661692	0.8059071729957806	0.691699604743083	0.6206896551724138
FORECasT WT	inDelphi	0.3799334284355682	0.42115384615384616	0.24932249322493225	0.06761565836298933	0.04533333333333334	0.023391812865497075
FORECasT WT	Lindel	0.6947674418604651	0.7386091127098321	0.6804733727810651	0.5412844036697247	0.4	0.5
FORECasT WT	FORECasT	0.7265763111373011	0.8612487611496531	0.8781431334622823	0.8866396761133604	0.7676767676767676	0.7083333333333334
FORECasT WT	DU-AxisCRISP	0.7516309412861137	0.8277027027027027	0.839390386869871	0.8125	0.7560975609756098	0.6666666666666666
inDelphi WT	X-CRISP	0.7051971326164874	0.6666666666666666	0.5282167042889391	0.3333333333333333	0.17582417582417584	0.09090909090909091
inDelphi WT	inDelphi	0.3437779767233662	0.2857142857142857	0.06299212598425197	0.021739130434782608	0.0	0.0
inDelphi WT	Lindel	0.6568998109640832	0.6072013093289689	0.48226950354609927	0.30973451327433627	0.13513513513513514	0.0
inDelphi WT	FORECasT	0.7696693272519954	0.8024691358024691	0.6652542372881356	0.42857142857142855	0.2631578947368421	0.1
inDelphi WT	DU-AxisCRISP	0.697754749568221	0.6223776223776224	0.5088062622309197	0.3120567375886525	0.14615384615384616	0.058823529411764705
