Dataset	Method	Precision-0.2	Precision-0.3	Precision-0.4	Precision-0.5	Precision-0.6	Precision-0.7
FORECasT WT	X-CRISP	0.6504559270516718	0.6092503987240829	0.5220125786163522	0.47160493827160493	0.38631346578366443	0.25471698113207547
FORECasT WT	inDelphi	0.5525587828492393	0.37244897959183676	0.31399317406143346	0.16593886462882096	0.1574074074074074	0.09523809523809523
FORECasT WT	Lindel	0.5252747252747253	0.32818327117741075	0.18110236220472442	0.07338308457711443	0.01312910284463895	0.0045871559633027525
FORECasT WT	FORECasT	0.5287307032590052	0.43822491174987394	0.3306627822286963	0.24662162162162163	0.15510204081632653	0.07053941908713693
FORECasT WT	DU-AxisCRISP	0.7003907946157186	0.6512493354598617	0.5628930817610063	0.49753086419753084	0.4105960264900662	0.2358490566037736
inDelphi WT	X-CRISP	0.7253456221198157	0.7782805429864253	0.6923076923076923	0.6377952755905512	0.45714285714285713	0.2
inDelphi WT	inDelphi	0.6357615894039735	0.3257328990228013	0.0761904761904762	0.02702702702702703	0.0	0.0
inDelphi WT	Lindel	0.6405529953917051	0.5520833333333334	0.40963855421686746	0.2777777777777778	0.15151515151515152	0.0
inDelphi WT	FORECasT	0.6103074141048824	0.5563480741797432	0.4422535211267606	0.3404255319148936	0.23809523809523808	0.16666666666666666
inDelphi WT	DU-AxisCRISP	0.744700460829493	0.8054298642533937	0.7692307692307693	0.6929133858267716	0.5428571428571428	0.2
